"","Plot","Plant_sp","Plant_id","Mean_fruit_set","Mean_N_seeds","N_flowers","N_seeds_plant","N_seeds_sc","Mean_N_seeds_sc","N_flowers_sc"
"295","D","LPED","309",0.342853957636566,1.3,547,243.803449275362,0.168405201971153,0.142857142857143,0.342017368069472
"296","D","LPED","310",0.422481218574386,2.2,342,317.874868855368,0.220878997179231,0.571428571428572,0.205076820307281
"297","D","LPED","311",0.324883005928893,2.1,151,103.020401180052,0.068671446679168,0.523809523809524,0.0774883099532398
"298","D","LPED","312",0.367555378982378,2.7,211,209.396299406261,0.144030433049994,0.80952380952381,0.117568470273881
"299","D","LPED","313",0.616275543836519,1.9,395,462.514795649308,0.323345048735035,0.428571428571428,0.240480961923848
"300","D","LPED","314",0.264973179235852,1.6,302,128.035040206764,0.0863923578340283,0.285714285714286,0.178356713426854
"301","D","LPED","315",0.300821494966502,2,373,224.41283524501,0.15466847172679,0.476190476190476,0.225784903139613
"302","D","LPED","316",0.407998346968935,1.9,287,222.48149860216,0.153300271089494,0.428571428571428,0.168336673346693
"303","D","LPED","317",0.51746549149775,2.7,318,444.295870999968,0.310438368582534,0.80952380952381,0.189044756179025
"304","D","LPED","318",0.410395989974937,2.4,355,349.657383458647,0.243394417728027,0.666666666666667,0.21376085504342
"305","D","LPED","319",0.171666666666667,1.3,226,50.4356666666667,0.0314192837589459,0.142857142857143,0.127588510354041
"306","D","LPED","320",0.408616008927374,1.9,197,152.944972141516,0.10403909222096,0.428571428571428,0.108216432865731
"307","D","ROFF","46",0.666666666666667,1,567,378,0.00923948951950789,0,0.0405371798060184
"308","D","ROFF","47",0.794047619047619,1,296,235.038095238095,0.00485361104311082,0,0.0180717897703722
"309","D","ROFF","48",0.829047619047619,2.14285714285714,2035,3615.23979591837,0.108553641548334,0.43956043956044,0.162231617342286
"310","D","ROFF","49",0.864603174603175,3,217,562.856666666667,0.0149106428026298,0.769230769230769,0.0115228384315676
"311","D","ROFF","50",0.719642857142857,3,801,1729.30178571429,0.0506956062867803,0.769230769230769,0.0599353394677941
"312","D","ROFF","51",0.845238095238095,2.11111111111111,1663,2967.44312169312,0.088680113035281,0.427350427350427,0.131393517367156
"313","D","ROFF","52",0.676865079365079,2.5,284,480.574206349206,0.0123863278650779,0.576923076923077,0.0170770123518196
"314","D","ROFF","53",0.66,2,1423,1878.36,0.055268511319451,0.384615384615385,0.111497968996104
"315","D","ROFF","54",0.906349206349206,2.1,791,1505.53666666667,0.0438307941465542,0.423076923076923,0.0591063582856669
"316","D","ROFF","55",0.831136363636364,2,524,871.030909090909,0.0243650130355915,0.384615384615385,0.0369725607228716
"317","D","ROFF","56",0.805714285714286,1.25,932,938.657142857143,0.0264396947041737,0.0961538461538461,0.07079499295366
"318","D","ROFF","57",0.656666666666667,1.5,78,76.83,0,0.192307692307692,0
