"","Plot","Plant_sp","Plant_id","Mean_N_seeds","Mean_fruit_set","N_flowers","N_seeds_plant","N_seeds_sc"
"30","A","HCOM","120",3.5,0.467320914379738,240,392.54956807898,0.1193676281848
"31","A","HHAL","471",19.1,0.561169116065668,885,9485.72215341602,0.252726777740766
"32","A","HHAL","472",21.6,0.629332770428746,2017,27418.2666758233,0.730501070571884
"33","A","HHAL","473",20.6,0.43338028250819,540,4820.9222626211,0.128443162203754
"34","A","HHAL","474",25.9,0.472222222222222,7,85.6138888888889,0.00228099894966383
"35","A","HHAL","475",20.5384615384615,0.78537037037037,29,467.778675213675,0.0124629622679832
"36","A","HHAL","476",40.4,0.468075927523727,488,9228.21052631579,0.245865931229003
"37","A","HHAL","477",18.4,0.0956908175456563,687,1209.60848643113,0.0322274308860644
"38","A","HHAL","478",10,0.903225806451613,3,27.0967741935484,0.000721935591022818
"39","A","HHAL","479",24.6,0.443477855477855,246,2683.75059020979,0.0715027941946776
"40","A","HHAL","480",30.1,0.436298701298701,45,590.966590909091,0.0157450407947185
"41","A","HHAL","481",9.25,0.361111111111111,7,23.3819444444444,0.000622961898017433
"42","A","HHAL","482",34.2,0.680328695301472,85,1977.71551724138,0.0526919998157789
"43","A","HHAL","483",1.25,0.256578947368421,22,7.05592105263158,0.000187989924518571
"44","A","HHAL","484",22.2,0.591089752854459,65,852.942513368984,0.0227248289076468
"45","A","HHAL","485",12,0.544444444444445,2,13.0666666666667,0.000348133385004337
"46","A","LPED","261",2.2,0.218045618247299,874,419.258114765906,0.295434365383934
"47","A","LPED","262",2.4,0.298112981397193,697,498.683395281224,0.351483514945073
"48","A","LPED","263",2.4,0.28789287758114,655,452.567603557552,0.318940338632942
"49","A","LPED","264",2,0.268719950850681,649,348.798496204184,0.245712140002242
"50","A","LPED","265",2.4,0.181165322773686,816,354.794168119986,0.249943189735375
"51","A","LPED","266",1.8,0.223672115795127,346,139.302993717205,0.097874516073247
"52","A","LPED","267",2.9,0.358936629812319,404,420.530155488113,0.296332024167438
"53","A","LPED","268",2.4,0.348148866059314,483,403.574165535957,0.284366453374115
"54","A","LPED","269",1.8,0.174936428263551,103,32.4332138000624,0.0224582224287229
"55","A","LPED","270",2,0.397695299438608,43,34.2017957517203,0.0237062824126028
"56","A","LPED","271",2.4,0.302917082917083,860,625.220859140859,0.440778978441585
"57","A","LPED","273",1.8,0.385605345031575,115,79.8203064215359,0.0558985354421124
"58","A","LPED","274",2,0.399611617696724,505,403.607733873691,0.284390142012921
"59","A","LPED","275",2.2,0.420624649938466,1532,1417.67332015261,1
"60","A","ROFF","236",2.66666666666667,0.347863247863248,102,94.6188034188034,0.00109950480669583
"61","A","ROFF","237",0.666666666666667,0.679133986928105,2302,1042.244291939,0.0301552691981759
"62","A","ROFF","238",1,0.573928571428571,111,63.7060714285714,0.000151669329193251
"63","A","ROFF","239",1.16666666666667,0.803809523809524,514,482.017777777778,0.0129777979307579
"64","A","ROFF","240",1,0.790178571428571,1019,805.191964285714,0.0228868528626238
"65","A","SGEN","241",2,0.295733454717901,430,254.330771057395,0.342419393688536
"66","A","SGEN","243",1,0.39485776558566,262,103.452734583443,0.139284061083939
"67","A","SGEN","244",0,0.504012909511631,75,0,0
"68","A","SGEN","247",0,0.410109964410167,391,0,0
"69","A","SGEN","248",0.5,0.504615876450915,73,18.4184794904584,0.0247978038739333
"70","A","SGEN","Y",0,0.354117647058824,367,0,0
"71","A","TMAS","566",1.16666666666667,0.0183605907423927,91,1.94928271715069,0.00405445422079574
"72","A","TMAS","567",1.3,0.0238061809030239,131,4.05419260778497,0.00843260866467835
"73","A","TMAS","568",1,0.00307692307692308,114,0.350769230769231,0.000729590313249384
"74","A","TMAS","570",1.33333333333333,0.00990860990860991,302,3.98986692320026,0.00829881301714329
