ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;predated_seeds;Antagonist_collected;Notes;Num_fruit;Num_seeds;Seeds_depredadas;Promedio
81;A;HHAL;Halimium_halimifolium;475;4;21;;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;5;23;;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;6;21;;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;7;30;;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;8;18;;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;9;21;;;;;;;;
81;A;HHAL;Halimium_halimifolium;475;10;19;;;;;;;;
82;A;HHAL;Halimium_halimifolium;476;;;;;;;;;;
83;A;HHAL;Halimium_halimifolium;477;;;;;;;;;;
84;A;HHAL;Halimium_halimifolium;478;;;;;;;;;;
85;A;HHAL;Halimium_halimifolium;479;;;;;;;;;;
86;A;HHAL;Halimium_halimifolium;480;;;;;;;;;;
87;A;HHAL;Halimium_halimifolium;481;;;;;;;;;;
88;A;HHAL;Halimium_halimifolium;482;;;;;;;;;;
89;A;HHAL;Halimium_halimifolium;483;;;;;;;;;;
90;A;HHAL;Halimium_halimifolium;484;;;;;;;;;;
91;A;HHAL;Halimium_halimifolium;485;;;;;;;;;;
92;A;TMAS;Thymus_mastichina;566;;;;;;;;;;
93;A;TMAS;Thymus_mastichina;567;;;;;;;;;;
94;A;TMAS;Thymus_mastichina;568;;;;;;;;;;
95;A;TMAS;Thymus_mastichina;569;;;;;;;;;;
96;A;TMAS;Thymus_mastichina;570;;;;;;;;;;
97;A;TMAS;Thymus_mastichina;571;;;;;;;;;;
98;A;TMAS;Thymus_mastichina;572;;;;;;;;;;
99;A;TMAS;Thymus_mastichina;573;;;;;;;;;;
100;A;TMAS;Thymus_mastichina;574;;;;;;;;;;
101;A;TMAS;Thymus_mastichina;575;;;;;;;;;;
102;A;TMAS;Thymus_mastichina;572_1;;;;;;;;;;
103;A;HPIC;Helichrysum_picardii;676;;;;;;;;;;
104;A;HPIC;Helichrysum_picardii;677;;;;;;;;;;
105;A;HPIC;Helichrysum_picardii;678;;;;;;;;;;
106;A;HPIC;Helichrysum_picardii;679;;;;;;;;;;
107;A;HPIC;Helichrysum_picardii;680;;;;;;;;;;
108;A;HPIC;Helichrysum_picardii;681;;;;;;;;;;
109;A;HPIC;Helichrysum_picardii;682;;;;;;;;;;
110;A;HPIC;Helichrysum_picardii;683;;;;;;;;;;
111;A;HPIC;Helichrysum_picardii;684;;;;;;;;;;
112;A;HPIC;Helichrysum_picardii;685;;;;;;;;;;
113;B;ROFF;Rosmarinus_officinalis;16;;;;;;;;;;
114;B;ROFF;Rosmarinus_officinalis;17;;;;;;;;;;
115;B;ROFF;Rosmarinus_officinalis;18;;;;;;;;;;
116;B;ROFF;Rosmarinus_officinalis;19;;;;;;;;;;
117;B;ROFF;Rosmarinus_officinalis;20;;;;;;;;;;
118;B;ROFF;Rosmarinus_officinalis;21;;;;;;;;;;
119;B;ROFF;Rosmarinus_officinalis;22;;;;;;;;;;
120;B;ROFF;Rosmarinus_officinalis;23;;;;;;;;;;
121;B;ROFF;Rosmarinus_officinalis;24;;;;;;;;;;
122;B;ROFF;Rosmarinus_officinalis;25;;;;;;;;;;
123;B;ROFF;Rosmarinus_officinalis;26;;;;;;;;;;
124;B;ROFF;Rosmarinus_officinalis;27;;;;;;;;;;
125;B;ROFF;Rosmarinus_officinalis;28;;;;;;;;;;
126;B;ROFF;Rosmarinus_officinalis;29;;;;;;;;;;
127;B;ROFF;Rosmarinus_officinalis;30;;;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;1;4;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;2;3;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;3;3;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;4;3;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;5;4;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;6;3;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;7;2;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;8;3;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;9;3;;;;;;;;
128;B;HCOM;Halimium_commutatum;121;10;3;;;;;;;;
