ID;Plot;Plant_sp;Plant_sp_complete;Plant_id
456;E;UPAR;Ulex_parviflorus;62
457;E;UPAR;Ulex_parviflorus;63
458;E;UPAR;Ulex_parviflorus;64
459;E;UPAR;Ulex_parviflorus;65
460;E;UPAR;Ulex_parviflorus;66
461;E;UPAR;Ulex_parviflorus;67
462;E;UPAR;Ulex_parviflorus;68
463;E;UPAR;Ulex_parviflorus;69
464;E;UPAR;Ulex_parviflorus;70
465;E;UPAR;Ulex_parviflorus;71
466;E;UPAR;Ulex_parviflorus;72
467;E;UPAR;Ulex_parviflorus;73
468;E;UPAR;Ulex_parviflorus;74
469;E;UPAR;Ulex_parviflorus;75
470;E;SGEN;Stauracanthus_genistoides;351
471;E;SGEN;Stauracanthus_genistoides;352
472;E;SGEN;Stauracanthus_genistoides;353
473;E;SGEN;Stauracanthus_genistoides;354
474;E;SGEN;Stauracanthus_genistoides;355
475;E;SGEN;Stauracanthus_genistoides;356
476;E;SGEN;Stauracanthus_genistoides;357
477;E;SGEN;Stauracanthus_genistoides;358
478;E;SGEN;Stauracanthus_genistoides;359
479;E;SGEN;Stauracanthus_genistoides;360
480;E;ROFF;Rosmarinus_officinalis;76
481;E;ROFF;Rosmarinus_officinalis;77
482;E;ROFF;Rosmarinus_officinalis;78
483;E;ROFF;Rosmarinus_officinalis;79
484;E;ROFF;Rosmarinus_officinalis;80
485;E;ROFF;Rosmarinus_officinalis;81
486;E;ROFF;Rosmarinus_officinalis;82
487;E;ROFF;Rosmarinus_officinalis;83
488;E;ROFF;Rosmarinus_officinalis;84
489;E;ROFF;Rosmarinus_officinalis;85
490;E;ROFF;Rosmarinus_officinalis;86
491;E;ROFF;Rosmarinus_officinalis;87
492;E;ROFF;Rosmarinus_officinalis;88
493;E;ROFF;Rosmarinus_officinalis;89
494;E;ROFF;Rosmarinus_officinalis;90
495;E;HCOM;Halimium_commutatum;181
496;E;HCOM;Halimium_commutatum;182
497;E;HCOM;Halimium_commutatum;183
498;E;HCOM;Halimium_commutatum;184
499;E;HCOM;Halimium_commutatum;185
500;E;HCOM;Halimium_commutatum;186
501;E;HCOM;Halimium_commutatum;187
502;E;HCOM;Halimium_commutatum;188
503;E;HCOM;Halimium_commutatum;189
504;E;HCOM;Halimium_commutatum;190
505;E;HCOM;Halimium_commutatum;191
506;E;HCOM;Halimium_commutatum;192
507;E;HCOM;Halimium_commutatum;193
508;E;HCOM;Halimium_commutatum;194
509;E;HCOM;Halimium_commutatum;195
510;E;LPED;Lavandula_pedunculata;321
511;E;LPED;Lavandula_pedunculata;322
512;E;LPED;Lavandula_pedunculata;323
513;E;LPED;Lavandula_pedunculata;324
514;E;LPED;Lavandula_pedunculata;325
515;E;LPED;Lavandula_pedunculata;326
516;E;LPED;Lavandula_pedunculata;327
517;E;LPED;Lavandula_pedunculata;328
518;E;LPED;Lavandula_pedunculata;329
519;E;LPED;Lavandula_pedunculata;330
520;E;LPED;Lavandula_pedunculata;331
521;E;LPED;Lavandula_pedunculata;332
522;E;LPED;Lavandula_pedunculata;333
523;E;LPED;Lavandula_pedunculata;334
524;E;LPED;Lavandula_pedunculata;335
525;E;CSAL;Cistus_salviifolius;361
526;E;CSAL;Cistus_salviifolius;362
527;E;CSAL;Cistus_salviifolius;363
528;E;CSAL;Cistus_salviifolius;364
529;E;CSAL;Cistus_salviifolius;365
530;E;CSAL;Cistus_salviifolius;365_1
531;E;CSAL;Cistus_salviifolius;365_2
532;E;CSAL;Cistus_salviifolius;365_3
533;E;CSAL;Cistus_salviifolius;365_4
534;E;CLIB;Cistus_libanotis;411
535;E;CLIB;Cistus_libanotis;412
536;E;CLIB;Cistus_libanotis;413
537;E;CLIB;Cistus_libanotis;414
538;E;CLIB;Cistus_libanotis;415
539;E;CLIB;Cistus_libanotis;416
540;E;CLIB;Cistus_libanotis;417
541;E;CLIB;Cistus_libanotis;418
542;E;CLIB;Cistus_libanotis;419
543;E;CLIB;Cistus_libanotis;420
544;E;CLIB;Cistus_libanotis;421
545;E;CLIB;Cistus_libanotis;422
546;E;CLIB;Cistus_libanotis;423
547;E;CLIB;Cistus_libanotis;424
548;E;CLIB;Cistus_libanotis;425
549;E;AVEL;Armeria_velutina;450
550;E;AVEL;Armeria_velutina;451
551;E;AVEL;Armeria_velutina;452
552;E;AVEL;Armeria_velutina;453
553;E;AVEL;Armeria_velutina;454
554;E;AVEL;Armeria_velutina;455
555;E;AVEL;Armeria_velutina;456
556;E;AVEL;Armeria_velutina;457
557;E;AVEL;Armeria_velutina;458
558;E;AVEL;Armeria_velutina;459
559;E;HHAL;Halimium_halimifolium;531
560;E;HHAL;Halimium_halimifolium;532
561;E;HHAL;Halimium_halimifolium;533
562;E;HHAL;Halimium_halimifolium;534
563;E;HHAL;Halimium_halimifolium;535
564;E;HHAL;Halimium_halimifolium;536
565;E;HHAL;Halimium_halimifolium;537
566;E;HHAL;Halimium_halimifolium;538
567;E;HHAL;Halimium_halimifolium;539
568;E;HHAL;Halimium_halimifolium;540
569;E;HHAL;Halimium_halimifolium;541
570;E;HHAL;Halimium_halimifolium;542
571;E;HHAL;Halimium_halimifolium;543
